"A";"U";"Bezeichnung"
"Gruppe 0 / Vertretungskörper und allgemeine Verwaltung (Gemeinden)";;
00;;"Gewählte Gemeindeorgane"
;000;"Gewählte Gemeindeorgane"
01;;"Hauptverwaltung"
;010;"Zentralamt"
;011;"Personalamt"
;012;"Hilfsamt"
;013;"Kanzleiökonomat"
;014;"Gemeindekontrolleinrichtung"
;015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit"
;016;"Elektronische Datenverarbeitung"
;018;"Geschäftsstelle der Kranken- und Unfallfürsorge"
;019;"Repräsentation"
02;;"Hauptverwaltung"
;020;"Rechtsamt"
;021;"Statistisches Amt"
;022;"Standesamt"
;023;"Einwohneramt"
;024;"Wahlamt"
;025;"Staatsbürgerschaft"
;026;"Sonstige Einrichtungen"
;029;"Amtsgebäude"
03;;"Bauverwaltung"
;030;"Bauamt"
;031;"Amt für Raumordnung und Raumplanung"
;032;"Vermessungsamt"
;033;"Hochbauamt"
;034;"Tiefbauamt"
04;;"Sonderämter"
;049;"Sonstige Einrichtungen"
05;;"Bezirksverwaltung"
;050;"Bezirksverwaltung"
06;;"Sonstige Maßnahmen"
;060;"Beiträge an Verbände, Vereine oder sonstige Organisationen"
;061;"Sonstige Subventionen"
;062;"Ehrungen und Auszeichnungen"
;063;"Städtekontakte und Partnerschaften"
;069;"Förderung anderer Rechtsträger"
07;;"Verfügungsmittel"
;070;"Verfügungsmittel"
08;;"Pensionen (soweit nicht aufgeteilt)"
;080;"Pensionen (soweit nicht aufgeteilt)"
09;;"Personalbetreuung"
;090;"Bezugsvorschüsse und Darlehen"
;091;"Personalausbildung und Personalfortbildung"
;094;"Gemeinschaftspflege"
;099;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 1 / Öffentliche Ordnung und Sicherheit (Länder und Gemeinden)";;
10;;"Gesonderte Verwaltung"
;100;"Gesonderte Verwaltung"
11;;"Öffentliche Ordnung"
;110;"Sicherung der Behördenkommunikation"
;119;"Sonstige Einrichtungen und Maßnahmen"
12;;"Sicherheitspolizei"
;120;"Allgemeine Angelegenheiten"
;129;"Sonstige Einrichtungen und Maßnahmen"
13;;"Sonderpolizei"
;130;"Gewerbe-, Markt- und Lebensmittelpolizei"
;131;"Bau- und Feuerpolizei"
;132;"Gesundheitspolizei"
;133;"Veterinärpolizei"
;134;"Flurpolizei"
;139;"Sonstige Einrichtungen und Maßnahmen"
16;;"Feuerwehrwesen"
;160;"Feuerwehrinspektorat"
;161;"Feuerwehrschulen"
;162;"Berufsfeuerwehren"
;163;"Freiwillige Feuerwehren"
;164;"Förderung der Brandbekämpfung und Brandverhütung"
;169;"Sonstige Einrichtungen und Maßnahmen"
17;;"Katastrophendienst"
;170;"Allgemeine Angelegenheiten"
;179;"Sonstige Einrichtungen und Maßnahmen"
18;;"Landesverteidigung"
;180;"Zivilschutz"
;189;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 2 / Unterricht, Erziehung, Sport und Wissenschaft (Länder und Gemeinden)";;
20;;"Gesonderte Verwaltung"
;200;"Schulamt"
;202;"Sportamt"
;205;"Schulaufsicht"
;206;"Qualifikations- und Disziplinarkommissionen der Landeslehrer"
;207;"Personalvertretung der Landeslehrer"
;208;"Pensionen der Landeslehrer"
;209;"Sonstige Einrichtungen und Maßnahmen"
21;;"Allgemeinbildender Unterricht"
;210;"Allgemeinbildende Pflichtschulen, gemeinsame Kosten"
;211;"Volksschulen"
;212;"Hauptschulen"
;213;"Sonderschulen"
;214;"Polytechnische Schulen"
;215;"Allgemeinbildende höhere Schulen"
;219;"Sonstige Einrichtungen und Maßnahmen"
22;;"Berufsbildender Unterricht; Anstalten der Lehrer- und Erzieherbildung"
;220;"Berufsbildende Pflichtschulen"
;221;"Berufsbildende mittlere Schulen"
;222;"Berufsbildende höhere Schulen"
;223;"Akademien für Sozialarbeit"
;224;"Bildungsanstalten für Kindergartenpädagogik"
;225;"Bildungsanstalten für Sozialpädagogik"
;226;"Berufspädagogische Akademien"
;227;"Pädagogische Akademien und Institute"
;228;"Berufsausbildung schulentlassener Jugendlicher"
;229;"Sonstige Einrichtungen und Maßnahmen"
23;;"Förderung des Unterrichts"
;230;"Förderung des Schulbetriebs"
;231;"Förderung der Lehrerschaft"
;232;"Schülerbetreuung"
;239;"Sonstige Einrichtungen und Maßnahmen"
24;;"Vorschulische Erziehung"
;240;"Kindergärten"
;241;"Förderung der Kindergärtner/innen"
;249;"Sonstige Einrichtungen und Maßnahmen"
25;;"Außerschulische Jugenderziehung"
;250;"Schülerhorte"
;251;"Schüler-, Lehrlings- und Gesellenheime"
;252;"Jugendherbergen und Jugendheime"
;253;"Jugendverkehrserziehung"
;259;"Sonstige Einrichtungen und Maßnahmen"
26;;"Sport und außerschulische Leibeserziehung"
;260;"Landessportorganisation"
;261;"Sportausbildungsstätten"
;262;"Sportplätze"
;263;"Turn- und Sporthallen"
;264;"Eislaufplätze und –hallen"
