"name";"dispname";"reihung"
"ergebnishaushalt";"Ergebnishaushalt";110
"er_sektor";"ER Sektor";120
"finanzierungshaushalt";"Finanzierungshaushalt";130
"fr_sektor";"FR Sektor";140
"vermoegenshaushalt";"Vermoegenshaushalt";150
"operating_leasing";"Leasing";160
"beteiligungen";"Beteiligungen";170
"haftungen";"Haftungen";180
"ppp_projekt";"PrivatePublicPartnership";190
"personal";"Personal";200
"pension";"Pensionen";210
"oestp";"OESTP";220
"kultur";"Kulturgüter";230
"vorhaben";"Vorhaben";240
"sonstige_daten";"Sonstige Daten";250
