"Ebene";"Position";"name";"Code"
0;"A ";"Langfristiges Vermögen ";10
1;"A.I ";"Immaterielle Vermögenswerte ";101
2;"A.I.1";"Immaterielle Vermögenswerte ";1010
1;"A.II ";"Sachanlagen";102
2;"A.II.1 ";"Grundstücke, Grundstückseinrichtungen und Infrastruktur";1021
2;"A.II.2 ";"Gebäude und Bauten";1022
2;"A.II.3";"Wasser- und Abwasserbauten und -anlagen";1023
2;"A.II.4";"Sonderanlagen";1024
2;"A.II.5 ";"Technische Anlagen, Fahrzeuge und Maschinen";1025
2;"A.II.6";"Amts-, Betriebs- und Geschäftsausstattung ";1026
2;"A.II.7";"Kulturgüter ";1027
2;"A.II.8";"Geleistete Anzahlungen für Anlagen und Anlagen in Bau";1028
1;"A.III ";"Aktive Finanzinstrumente/Langfristiges Finanzvermögen";103
2;"A.III.1 ";"Bis zur Endfälligkeit gehaltene Finanzinstrumente ";1031
2;"A.III.2 ";"Zur Veräußerung verfügbare Finanzinstrumente";1032
2;"A.III.3";"Partizipations- und Hybridkapital ";1033
2;"A.III.4";"Derivative Finanzinstrumente ohne Grundgeschäft";1034
1;"A.IV ";"Beteiligungen ";104
2;"A.IV.1 ";"Beteiligungen an verbundenen Unternehmen";1041
2;"A.IV.2 ";"Beteiligungen an assoziierten Unternehmen";1042
2;"A.IV.3 ";"Sonstige Beteiligungen ";1043
2;"A.IV.4";"Verwaltete Einrichtungen, die der Kontrolle unterliegen";1044
1;"A.V ";"Langfristige Forderungen ";106
2;"A.V.1";"Langfristige Forderungen aus Lieferungen und Leistungen";1061
2;"A.V.2";"Langfristige Forderungen aus gewährten Darlehen";1062
2;"A.V.3";"Sonstige langfristige Forderungen ";1063
0;"B ";"Kurzfristiges Vermögen ";11
1;"B.I ";"Kurzfristige Forderungen ";113
2;"B.I.1";"Kurzfristige Forderungen aus Lieferungen und Leistungen ";1131
2;"B.I.2";"Kurzfristige Forderungen aus Abgaben";1132
2;"B.I.3";"Sonstige kurzfristige Forderungen ";1133
2;"B.I.4";"Sonstige kurzfristige Forderungen (nicht voranschlagswirksame Gebarung)";1134
1;"B.II ";"Vorräte ";114
2;"B.II.1 ";"Vorräte ";1141
2;"B.II.2 ";"Gegebene Anzahlungen auf Vorräte ";1142
1;"B.III ";"Liquide Mittel ";115
2;"B.III.1 ";"Kassa, Bankguthaben, Schecks";1151
